#{"t_start": 1590928017.768265, "env_id": "SuperMarioBros-1-1-v2"}
r,l,t
1146,4121,79.031745
613,426,84.949406
610,368,90.068891
250,120,94.987765
231,160,113.414213
233,162,131.995253
236,124,146.275328
