Wall time,Step,Value
1590925314.687011,752,0.6410461068153381
1590925315.505087,756,3.3119449615478516
1590925316.377859,760,4.26594877243042
1590925317.209666,764,1.6855731010437012
1590925318.025364,768,1.9416053295135498
1590925318.875529,772,4.69624137878418
1590925319.770978,776,3.8712658882141113
1590925320.699158,780,5.529528617858887
1590925321.634054,784,0.9035937190055847
1590925322.478039,788,2.006950855255127
1590925323.2817779,792,4.068676948547363
1590925324.1918058,796,4.339245319366455
1590925325.0448241,800,3.7344472408294678
1590925325.9364018,804,2.0952608585357666
1590925326.851222,808,1.8278754949569702
1590925327.668652,812,3.4862570762634277
1590925328.4436831,816,1.8459819555282593
1590925329.2752829,820,4.254035949707031
1590925330.0996292,824,1.2277255058288574
1590925330.914238,828,4.091408729553223
1590925331.80452,832,0.8826364278793335
1590925332.621946,836,3.9335122108459473
1590925333.4216871,840,2.313361644744873
1590925334.236127,844,2.3927199840545654
1590925335.090705,848,3.4580440521240234
1590925336.167517,852,3.9684760570526123
1590925337.531782,856,3.0879502296447754
1590925339.071014,860,3.5792903900146484
1590925341.309294,864,2.5685296058654785
1590925343.823614,868,1.4595657587051392
1590925346.036921,872,2.5345497131347656
1590925348.416437,876,1.4316911697387695
1590925350.427259,880,1.5263571739196777
1590925352.12382,884,3.359837293624878
1590925353.962251,888,0.8442065119743347
1590925355.776457,892,2.5459604263305664
1590925357.553399,896,3.964016914367676
1590925359.031801,900,1.681659460067749
1590925360.77565,904,2.566542625427246
1590925362.324773,908,0.929761528968811
1590925363.478244,912,0.9788084030151367
1590925364.727305,916,2.7593390941619873
1590925367.999122,920,1.2314075231552124
1590925369.3772202,924,1.0137851238250732
1590925370.2151198,928,4.106129169464111
1590925371.061821,932,1.5092846155166626
1590925371.951911,936,2.8593194484710693
1590925373.29583,940,1.282820463180542
1590925374.598646,944,3.0137665271759033
1590925375.4990568,948,0.5623677968978882
1590925376.3677208,952,3.7496137619018555
1590925377.4445372,956,1.6737642288208008
1590925378.342825,960,1.7310829162597656
1590925379.648372,964,1.9071153402328491
1590925380.888457,968,2.377902030944824
1590925382.280939,972,1.8115532398223877
1590925383.1756659,976,1.493053913116455
1590925384.126233,980,0.47874653339385986
1590925385.0630422,984,1.1772282123565674
1590925385.980793,988,2.408803939819336
1590925387.46506,992,1.5954862833023071
1590925388.5034938,996,1.7232587337493896
1590925389.369052,1000,4.159891128540039
1590925390.37585,1004,2.2307629585266113
1590925391.3207092,1008,2.1606969833374023
1590925392.253404,1012,2.632796287536621
1590925393.3027,1016,1.0971028804779053
1590925394.251989,1020,2.116739511489868
1590925395.1536908,1024,1.7471309900283813
1590925396.4245021,1028,3.0416736602783203
1590925397.4000902,1032,2.6800875663757324
1590925398.241077,1036,1.7274281978607178
1590925399.066112,1040,3.03832745552063
1590925401.522075,1044,1.4396833181381226
1590925402.8741162,1048,2.331575393676758
1590925405.102516,1052,4.171366214752197
1590925406.8117409,1056,3.5343146324157715
1590925408.269631,1060,4.726140975952148
1590925409.971018,1064,1.5724302530288696
1590925411.693593,1068,2.201484441757202
1590925413.2486532,1072,5.696269512176514
1590925414.117974,1076,2.9351537227630615
1590925415.2953532,1080,2.772644519805908
1590925416.1824489,1084,1.5034444332122803
1590925417.046897,1088,1.0955939292907715
1590925417.962902,1092,4.411847114562988
1590925419.0242162,1096,4.344783782958984
1590925420.649961,1100,6.335528373718262
1590925421.722795,1104,4.031221866607666
1590925422.610484,1108,5.658440589904785
1590925423.439952,1112,2.039905548095703
1590925424.296097,1116,1.326889157295227
1590925425.227037,1120,11.81134033203125
1590925426.547612,1124,5.020484924316406
1590925427.524239,1128,5.531130790710449
1590925428.4810612,1132,4.840985298156738
1590925429.5297291,1136,4.296525955200195
1590925430.4174001,1140,2.4631619453430176
1590925431.4407492,1144,3.720928192138672
1590925432.3503108,1148,7.46970272064209
1590925433.324948,1152,5.232419490814209
1590925434.2095082,1156,6.081979274749756
1590925435.192401,1160,3.4485068321228027
1590925436.060456,1164,4.779525279998779
1590925437.182314,1168,7.040740966796875
1590925438.158602,1172,5.95927619934082
1590925439.257409,1176,4.723135471343994
1590925440.52805,1180,7.978528022766113
1590925442.2116811,1184,5.1950578689575195
1590925443.324109,1188,2.5014500617980957
1590925444.8999722,1192,3.242582321166992
