Wall time,Step,Value
1590925835.133724,889,0.4375
1590925835.949607,890,-0.53125
1590925836.789696,891,0.5625
1590925837.602389,892,0.65625
1590925838.371835,893,0.625
1590925839.167288,894,0.46875
1590925839.9331572,895,0.0
1590925840.9381561,896,0.25
1590925842.014678,897,0.53125
1590925842.9389231,898,0.625
1590925844.0285718,899,0.53125
1590925845.19343,900,0.28125
1590925846.389765,901,0.4375
1590925847.569589,902,0.65625
1590925849.042803,903,-0.1875
1590925850.263607,904,1.0
1590925851.169119,905,0.75
1590925852.048705,906,0.59375
1590925853.0596108,907,0.5625
1590925853.9647381,908,1.0
1590925854.750689,909,0.9375
1590925855.6312141,910,0.5
1590925856.4001658,911,0.96875
1590925857.17853,912,0.625
1590925857.940799,913,0.84375
1590925858.834881,914,1.09375
1590925859.71759,915,0.21875
1590925860.664829,916,0.71875
1590925861.5335722,917,0.40625
1590925862.506901,918,0.15625
1590925864.2149591,919,0.5625
1590925865.366902,920,0.875
1590925866.122839,921,0.78125
1590925866.877314,922,0.5625
1590925867.723351,923,0.6875
1590925868.547752,924,0.0
1590925869.404344,925,0.53125
1590925870.273403,926,0.9375
1590925871.376419,927,0.59375
1590925872.243995,928,0.1875
1590925874.2287428,929,0.5
1590925876.0973,930,0.25
1590925876.988349,931,0.75
1590925877.764731,932,0.5625
1590925878.5184572,933,0.59375
1590925879.2646341,934,0.4375
1590925880.147016,935,-0.375
1590925881.0611682,936,0.59375
1590925882.152127,937,0.6875
1590925882.933564,938,-0.03125
1590925883.728242,939,0.34375
1590925884.5274072,940,0.625
1590925885.532135,941,0.625
1590925886.400928,942,0.625
1590925887.229697,943,0.84375
1590925888.588181,944,0.53125
1590925889.874728,945,0.0
1590925890.701348,946,0.71875
1590925891.453996,947,-0.375
1590925892.2882829,948,0.46875
1590925893.081333,949,0.71875
1590925893.825877,950,0.125
1590925894.716625,951,0.21875
1590925895.618568,952,0.5
1590925896.661581,953,-0.1875
1590925898.416105,954,0.84375
1590925899.540043,955,0.96875
1590925900.399071,956,0.78125
1590925901.250141,957,0.53125
1590925902.153715,958,1.0
1590925902.928375,959,-0.4375
1590925903.7360399,960,0.625
1590925904.630612,961,0.84375
1590925905.3733,962,0.84375
1590925906.128651,963,0.6875
1590925907.015599,964,0.25
1590925907.8031528,965,0.625
1590925908.678375,966,0.625
1590925909.730071,967,0.90625
1590925910.586781,968,0.8125
1590925911.816393,969,0.03125
1590925912.6957881,970,0.75
1590925913.473786,971,0.375
1590925914.2950919,972,0.5625
1590925915.127858,973,0.15625
1590925916.128908,974,0.59375
1590925917.014951,975,-0.3125
1590925918.179749,976,0.65625
1590925918.997726,977,0.375
1590925920.0846112,978,0.0
1590925920.9416661,979,0.40625
1590925922.028092,980,1.0625
1590925923.000731,981,0.53125
1590925923.988404,982,0.65625
