Wall time,Step,Value
1590925461.830415,1256,0.375
1590925462.828251,1260,0.625
1590925463.6554391,1264,0.34375
1590925464.45046,1268,0.5
1590925465.239774,1272,0.75
1590925466.085839,1276,0.78125
1590925466.925127,1280,0.53125
1590925467.907964,1284,0.46875
1590925469.09846,1288,0.53125
1590925470.209934,1292,0.6875
1590925471.049749,1296,0.59375
1590925471.894562,1300,1.0
1590925472.736775,1304,0.96875
1590925473.562666,1308,0.75
1590925474.391638,1312,0.59375
1590925475.291906,1316,0.46875
1590925476.119242,1320,0.1875
1590925476.965662,1324,0.5
1590925477.812438,1328,0.71875
1590925478.657224,1332,0.875
1590925479.498608,1336,0.84375
1590925480.915463,1340,0.59375
1590925481.798434,1344,0.375
1590925482.947032,1348,0.71875
1590925484.1018062,1352,0.75
1590925485.3345768,1356,0.78125
1590925486.3402932,1360,0.6875
1590925487.5179148,1364,0.875
1590925488.8674781,1368,1.0625
1590925490.227349,1372,0.71875
1590925491.447597,1376,0.84375
1590925492.3475971,1380,0.84375
1590925493.594371,1384,0.71875
1590925494.7977998,1388,0.5625
1590925495.8809888,1392,0.71875
1590925496.908831,1396,0.875
1590925497.855438,1400,0.875
1590925499.313664,1404,0.46875
1590925500.319366,1408,0.9375
1590925501.34284,1412,0.75
1590925502.3621418,1416,0.46875
1590925503.3189929,1420,0.53125
1590925504.211201,1424,1.0625
1590925505.780054,1428,0.65625
1590925506.9454012,1432,0.65625
1590925508.0166059,1436,0.9375
1590925509.1006248,1440,0.78125
1590925510.519049,1444,0.59375
1590925511.5208051,1448,0.71875
1590925512.409051,1452,0.75
1590925513.279706,1456,0.90625
1590925514.319736,1460,0.8125
1590925515.4632902,1464,0.90625
1590925517.221558,1468,1.0625
1590925518.721716,1472,0.71875
1590925519.623444,1476,0.78125
1590925520.746528,1480,0.5625
1590925521.906868,1484,0.65625
1590925522.933126,1488,0.78125
1590925523.835903,1492,0.28125
1590925524.879282,1496,0.84375
1590925525.9347231,1500,0.9375
