Wall time,Step,Value
1590929261.467649,1257,0.96875
1590929262.658002,1258,0.3125
1590929263.808149,1259,0.34375
1590929265.02048,1260,0.375
1590929266.581446,1261,0.375
1590929267.813501,1262,0.46875
1590929269.200725,1263,0.25
1590929271.741835,1264,0.53125
1590929274.1121202,1265,0.25
1590929275.877642,1266,0.4375
1590929277.683411,1267,0.1875
1590929279.370903,1268,0.71875
1590929281.126685,1269,0.21875
1590929283.303458,1270,0.125
1590929285.0089521,1271,0.28125
1590929286.905959,1272,0.1875
1590929288.1620932,1273,0.8125
1590929289.410966,1274,0.15625
1590929290.745134,1275,0.46875
1590929292.3544698,1276,0.28125
1590929294.466272,1277,0.34375
1590929296.477708,1278,0.09375
1590929297.869199,1279,0.5
1590929299.266113,1280,0.46875
1590929301.433654,1281,0.40625
1590929303.785501,1282,0.375
1590929305.9474702,1283,0.375
1590929308.1684291,1284,0.1875
1590929310.556938,1285,0.65625
1590929312.377101,1286,0.4375
1590929314.677758,1287,0.1875
1590929316.401324,1288,0.25
1590929318.3870988,1289,0.34375
1590929320.398644,1290,0.71875
1590929322.299975,1291,0.59375
1590929324.254536,1292,0.3125
1590929326.254868,1293,0.25
1590929327.912891,1294,0.1875
1590929329.841869,1295,0.40625
1590929331.483084,1296,0.59375
1590929333.0107882,1297,0.34375
1590929334.738497,1298,0.15625
1590929337.024894,1299,1.03125
1590929339.024535,1300,0.3125
1590929340.9798179,1301,0.5
1590929343.261012,1302,0.1875
1590929344.920095,1303,0.6875
1590929346.879085,1304,0.40625
1590929348.528917,1305,0.375
1590929350.253559,1306,0.875
1590929352.100656,1307,0.625
1590929353.778966,1308,0.5
1590929355.392373,1309,0.71875
1590929356.660164,1310,0.28125
1590929358.165877,1311,0.3125
1590929359.615746,1312,0.4375
1590929361.223841,1313,0.34375
1590929363.315566,1314,0.4375
1590929364.841868,1315,0.53125
1590929366.4698172,1316,0.625
1590929367.890112,1317,0.8125
1590929369.822301,1318,0.09375
1590929371.624537,1319,0.5
1590929373.940597,1320,0.21875
1590929375.5189362,1321,0.59375
1590929377.244614,1322,0.3125
1590929379.314582,1323,0.6875
1590929380.9548092,1324,0.46875
1590929382.237924,1325,0.25
1590929383.471793,1326,0.3125
1590929384.7205482,1327,0.625
1590929386.8916428,1328,0.9375
1590929389.16084,1329,0.46875
1590929391.245676,1330,0.25
1590929393.287951,1331,0.46875
1590929394.8455749,1332,0.59375
1590929396.2942982,1333,0.40625
1590929397.610762,1334,0.125
1590929398.9334579,1335,0.21875
1590929400.2477288,1336,0.375
1590929401.505616,1337,0.8125
1590929402.890589,1338,0.1875
1590929404.6568162,1339,0.5
1590929405.893499,1340,0.46875
1590929407.096246,1341,0.71875
1590929408.362327,1342,-0.03125
1590929409.602915,1343,0.71875
1590929410.9033248,1344,0.40625
1590929412.106976,1345,0.3125
1590929413.3900201,1346,0.625
1590929414.571458,1347,0.65625
1590929415.878726,1348,0.78125
1590929417.214853,1349,0.65625
1590929418.4741151,1350,0.21875
1590929419.690602,1351,0.65625
1590929420.855137,1352,0.625
1590929422.162224,1353,0.625
